index	actual_p	real_lower_num	real_upper_num	imag_lower_num	imag_upper_num	denominator	cell_status	strict_margin_num
36	244457394	6590558298820597411036139934012370874337133886730222853750824971967221727232	6590558298820597411036139934012370874337133887369696255294179220219800584192	-319001673873351429588068073472	320239613912636809862967197696	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	7669939934974466225414376276527148396412891857022408407003992948736
37	-1245412664	-33576259000462169229853989096102538069826458755636739526708754499648293437440	-33576259000462169229853989096102538069826458751980715734436749866535273627648	-1827392926116359626419060342784	1827044755480310613216744964096	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	13051803699701991053684279531233907185810828706337868641397314158592
38	831860823	22426923410319714849503508907085188151675403664472416316634525847342718910464	22426923410319714849503508907085188151675403666063091895863784164320912343040	-795802017129361176092183887872	794641448342531132084465958912	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	1227649898510574623177129105857379638586528152882810917710467170304
39	735595106	19831604815105037540297735740834200420922241279660871347154718195351205969920	19831604815105037540297735740834200420922241283218711020060901105411288989696	-1779229321462912800098766290944	1778687722695725446228497924096	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	2207989276147154440527903514977089959443402354886911257648281157632
40	-96135038591426241629215763	-2591795513269320040261630166950415650848347043327291595096264016894206757530430704639321047040	-2591795513269320040261630166950415650848347043327291595096238963328175951328905824195412230144	-12528790122405857754381236136050688	12524907400843891614485282214117376	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	577762048921717171959290712505318181443966079013888782676151762944
41	-1147887741	-30946992288228400813217206495617380406166258714369690072213730491122610864128	-30946992288228400813217206495617380406166258710700629223903001696989559652352	-1835710335755308275141038833664	1833621311939014195927146561536	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	2487599340963137197168009413959206587329729365237344105346195521536
42	873521118	23550082761474328528715481599980956086660576228014326427191289934185676931072	23550082761474328528715481599980956086660576229701445272606124908205230260224	-842456882359928945202444632064	844700648681133696950699294720	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	5915445552712659753888806530831850629422232212717820831077993807872
43	923093213	24886543783049741747517053914955566929233418559849631001840705552359027113984	24886543783049741747517053914955566929233418563860247244115516297963464818688	-2006120519288186403607621402624	2004959950501356359599903473664	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	5240989438027538590492649000142167855520196538669678422062304067584
44	-252034556	-6794838187390010376996941355839182405348815252950246725016810669216244957184	-6794838187390010376996941355839182405348815252229262709011759663488276889600	-359892380795996646793329770496	361478491471331040270544273408	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	12830992424807428937870395968744511989404945343021279104881878106112
45	64078397	1727550168057197581094985141181878675095749707134509684811165708714193715200	1727550168057197581094985141181878675095749711034175551065024247180797411328	-1948014708694228866954543759360	1951302986923580658309744558080	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	11059281308047006231702662309512764000038287212256694129053539500032
46	791354083	21334863872099410463009712900259317913130155152662606988226604743455447973888	21334863872099410463009712900259317913130155154254984735009880458311627702272	-795453846493312162889868509184	796459672775231534363224047616	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	13067483019013008783057240421905175790243019933418108667249523949568
47	1129786251	30458977064981628063199573239939624699797530010759322181581597496316052635648	30458977064981628063199573239939624699797530014120445445120087947067946696704	-1680271489572537714374017548288	1681741543369189103450460258304	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	6221535210906636368748784941134231416090221114032067570840937431040
48	214818205485312903011427793	5791487363017042887360081182504102667642300135060663700330855912415507664242210725863274577920	5791487363017042887360081182504102667642300135060663700339180608920135377213843567720043380736	-4162445650670125184258178439750615040	4162153637791275808135981050571522048	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	11537756948624003681001796617841908410312824541579561576360480604160
49	-1035743248	-27923582737940864491417532077862232479298045561429872733035659431189252407296	-27923582737940864491417532077862232479298045558067704957589021940830412210176	-1682360513388831793587909820416	1680735717087269731977104719872	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	2480487408364255104165989977885133713035956431592298713411622010880
50	89079203	2401570566075276550296482862804922715932331519961094007743799097229618184192	2401570566075276550296482862804922715932331521554593637687677187959925243904	-796614415280142206897586438144	796266244644093193695271059456	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	9436982057127858388869269173339433751619788005363051214014672535552
51	-134196460	-3617929392704691510272484001840652541766588128078143495080023604859380957184	-3617929392704691510272484001840652541766588124173990096183755562896267935744	-1952308813205500029783100096512	1951457729428491330844106948608	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	1664250696668363595729533698366883354978873274116520414783568084992
52	1185351223	31957005764742844775476385861129259641995222191700961150545289559559836270592	31957005764742844775476385861129259641995222192424575789133821998371964977152	-360782150199233013865913516032	362329575248339739209537421312	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	2658913363939949247362418545518696143880092779732773040803360538624
53	-1232542968	-33229292673447594162626731490324076824568165450184813796153790406178046476288	-33229292673447594162626731490324076824568165446168046539308780427332703748096	-2008441656861846491623057260544	2007745315589748465218426503168	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	4676009820584258040601630503329415441383815444300498975800600559616
54	820743668	22127205517079128695755543545109394058073755908792987293050872083072220659712	22127205517079128695755543545109394058073755910483549159199969520981337178112	-846518873113834099229457383424	844236421166401679347612123136	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	13082435851441549153355944352522320240736714389031154483554401910784
55	-1004847151	-27090625600475668989197059827490674327222780500345682355803603808448268992512	-27090625600475668989197059827490674327222780496670083636660399099738406780928	-1837064332673276659816709750784	1837141703925731996083890946048	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	12602570029876635173708526179763530217238324295012646526842633715712
56	205772313099668411318609508	5547610586743283323527822260160676308530155960423832611810621325909774659819838864036647141376	5547610586743283323527822260160676308530155960423832611810681312981288402563749319635879591936	-29975138285062850300778987439259648	30011896825505613373962903040819200	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	5083791187285060511463941729098227391884143846336691830285985120256
57	-513619698	-13847159659521272334570979833408183042035444460066039627557451843350799843328	-13847159659521272334570979833408183042035444456500385458153279970305416101888	-1781434402157889883713430355968	1783600797226639299194503823360	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	7723227536302645431185224158880213113431284438932019207945194569728
58	-413300285	-11142553654091696049815525344099914439000901776542150805503701483855242330112	-11142553654091696049815525344099914439000901774947413235520538012850036146176	-797272070926012565168626597888	798200525955476600374800941056	26959946667150639794667015087019630673637144422540572481103610249216	CERTIFIED	506436848828013368798106262517887336698600436269863987226456621056
